org_id,org_name_norm,org_name,country,city,org_type,budget_total_received,nb_projects,latitude,longitude
AM_AI_ALIKHANYAN_NATIONAL_SCIENCE_LABORATORY_YEREVAN_PHYSICS_IN_d41f265548,AI ALIKHANYAN NATIONAL SCIENCE LABORATORY YEREVAN PHYSICS INSTITUTE FOUNDATION,AI ALIKHANYAN NATIONAL SCIENCE LABORATORY YEREVAN PHYSICS INSTITUTE FOUNDATION,AM,YEREVAN,REC,0.0,1,40.1776121,44.5125849
AM_AM00471911_79085c9fab,GROVF LLC,GROVF LLC,AM,YEREVAN,PRC,50000.0,1,40.1776121,44.5125849
AM_AM00871944_ef787558f6,SCIENTIFIC AND PRODUCTION CENTER ARMBIOTECHNOLOGY NAS RA,SCIENTIFIC AND PRODUCTION CENTER ARMBIOTECHNOLOGY NAS RA,AM,YEREVAN,REC,0.0,1,40.1888954,44.5561483
AM_AM02236362_baa20a1ece,SYNOPSYS ARMENIA CJSC,Synopsys Armenia CJSC,AM,Yerevan,PRC,4600.0,1,40.2055893,44.5802032
AM_AM02567702_426d227ec1,ACBA LEASING CREDIT ORGANIZATION CLOSED JOINT STOCK COMPANY,ACBA LEASING CREDIT ORGANIZATION CLOSED JOINT STOCK COMPANY,AM,YEREVAN,PRC,98236.64,1,40.1776121,44.5125849
AM_AM02632335_029108ab2f,CAUCASUS CONSULTING GROUP AM,CAUCASUS CONSULTING GROUP-AM,AM,YEREVAN,PRC,81850.0,1,40.1776121,44.5125849
AM_AMERICAN_UNIVERSITY_OF_ARMENIA_FOUNDATION_e2fe8161c4,AMERICAN UNIVERSITY OF ARMENIA FOUNDATION,AMERICAN UNIVERSITY OF ARMENIA FOUNDATION,AM,Yerevan,HES,702618.75,3,40.1776121,44.5125849
AM_CENTER_FOR_ECOLOGICAL_NOOSPHERE_STUDIES_NATIONAL_ACADEMY_OF__4a7c79fb2c,CENTER FOR ECOLOGICAL NOOSPHERE STUDIES NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,CENTER FOR ECOLOGICAL-NOOSPHERE STUDIES NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,AM,Yerevan,REC,190000.0,1,40.19112475,44.526817020841634
AM_CENTER_OF_MEDICAL_GENETICS_AND_PRIMARY_HEALTH_CARE_50838dae86,CENTER OF MEDICAL GENETICS AND PRIMARY HEALTH CARE,Center of Medical Genetics and Primary Health Care,AM,Yerevan,PRC,0.0,1,40.1778815,44.46222350853986
AM_EDUCATIONAL_AND_CULTURAL_BRIDGES_2a738ba6a2,EDUCATIONAL AND CULTURAL BRIDGES,EDUCATIONAL AND CULTURAL BRIDGES,AM,Yerevan,OTH,27600.0,1,40.16431325,44.53173297196527
